time_step,best_bid,best_ask,assets,ema_swim_bid,cash,total_profit
241,2.4029,2.403,0,49.28104999999999,2.4029314319756034,1.000022321451219
242,2.4017,2.4018,0,49.28104999999999,2.4028425244370277,1.000022321451219
243,2.4014,2.4015,0,49.28104999999999,2.4021212622185137,1.000022321451219
244,2.401,2.4011,0,49.28104999999999,2.4015606311092568,1.000022321451219
245,2.4007,2.4008,0,49.28104999999999,2.401216378665554,1.000022321451219
246,2.4,2.4001,0,49.28104999999999,2.400608189332777,1.000022321451219
247,2.4,2.4001,0,49.28104999999999,2.400364913599666,1.000022321451219
248,2.3996,2.3997,0,49.28104999999999,2.4000589481597996,1.000022321451219
249,2.3996,2.3997,0,49.28104999999999,2.3999059654398667,1.000022321451219
250,2.3996,2.3997,0,49.28104999999999,2.399818546742762,1.000022321451219
251,2.3996,2.3997,0,49.28104999999999,2.3997639100570716,1.000022321451219
252,2.3996,2.3997,0,49.28104999999999,2.3997274855999446,1.000022321451219
253,2.3997,2.3998,0,49.28104999999999,2.399808127078521,1.000022321451219
254,2.3997,2.3998,0,49.28104999999999,2.39985253764169,1.000022321451219
255,2.3997,2.3998,0,49.28104999999999,2.3998751672254013,1.000022321451219
256,2.4003,2.4004,0,49.28104999999999,2.399897809611052,1.000022321451219
257,2.4003,2.4004,0,49.28104999999999,2.3999220023421715,1.000022321451219
258,2.4003,2.4004,0,49.28104999999999,2.399946388838173,1.000022321451219
259,2.3998,2.3999,0,49.28104999999999,2.399961767370034,1.000022321451219
260,2.3998,2.3999,0,49.28104999999999,2.3999686691108595,1.000022321451219
261,2.3996,2.3997,0,49.28104999999999,2.3999659269824147,1.000022321451219
262,2.3987,2.3988,0,49.28104999999999,2.3998666801746755,1.000022321451219
263,2.3986,2.3987,0,49.28104999999999,2.3992333400873376,1.000022321451219
264,2.3988,2.3989,0,49.28104999999999,2.3991095286338124,1.000022321451219
265,2.3993,2.3994,0,49.28104999999999,2.3991342648401357,1.000022321451219
266,2.3988,2.3989,0,49.28104999999999,2.3991634853645873,1.000022321451219
267,2.3981,2.3982,0,49.28104999999999,2.399132147073446,1.000022321451219
268,2.3979,2.398,0,49.28104999999999,2.3985160735367232,1.000022321451219
269,2.3973,2.3974,0,49.28104999999999,2.397908036768362,1.000022321451219
270,2.3974,2.3975,0,49.28104999999999,2.397704822061017,1.000022321451219
271,2.3981,2.3982,0,49.28104999999999,2.3978765880573496,1.000022321451219
272,2.3983,2.3984,0,49.28104999999999,2.3979479753119373,1.000022321451219
273,2.3985,2.3986,0,49.28104999999999,2.398104938069485,1.000022321451219
