timestamp,best_bid,best_ask
2025-02-06 19:13:29.018011,2.3285,2.3286
2025-02-06 19:13:30.336643,2.3288,2.3289
2025-02-06 19:13:31.648384,2.3293,2.3294
2025-02-06 19:13:32.960890,2.3296,2.3297
2025-02-06 19:13:34.275345,2.3297,2.3298
2025-02-06 19:13:35.591843,2.3292,2.3293
2025-02-06 19:13:36.905475,2.3287,2.3288
2025-02-06 19:13:38.217484,2.3278,2.3279
2025-02-06 19:13:39.531671,2.3269,2.327
2025-02-06 19:13:40.844606,2.3278,2.3279
2025-02-06 19:13:42.155721,2.3271,2.3272
2025-02-06 19:13:43.469581,2.3272,2.3273
2025-02-06 19:13:44.781151,2.3288,2.3289
2025-02-06 19:13:46.093148,2.3282,2.3283
2025-02-06 19:13:47.418635,2.3285,2.3286
2025-02-06 19:13:48.734201,2.3292,2.3293
2025-02-06 19:13:50.046877,2.3296,2.3297
2025-02-06 19:13:51.359504,2.3292,2.3293
2025-02-06 19:13:52.671811,2.3287,2.3288
2025-02-06 19:13:54.440236,2.328,2.3281
2025-02-06 19:13:55.751687,2.3278,2.3279
2025-02-06 19:13:57.517606,2.3273,2.3274
2025-02-06 19:13:58.835983,2.327,2.3271
2025-02-06 19:14:00.146787,2.3261,2.3262
2025-02-06 19:14:01.458848,2.3262,2.3263
2025-02-06 19:14:02.771922,2.3274,2.3275
2025-02-06 19:14:04.084092,2.3274,2.3275
2025-02-06 19:14:05.401418,2.3291,2.3292
2025-02-06 19:14:06.713474,2.3292,2.3293
2025-02-06 19:14:08.024141,2.3293,2.3294
2025-02-06 19:14:09.338215,2.3298,2.3299
2025-02-06 19:14:10.650548,2.3297,2.3298
2025-02-06 19:14:12.027819,2.33,2.3301
2025-02-06 19:14:13.400744,2.3301,2.3302
2025-02-06 19:14:14.711427,2.3293,2.3294
2025-02-06 19:14:16.025389,2.3294,2.3295
2025-02-06 19:14:17.338917,2.3287,2.3288
2025-02-06 19:14:18.658535,2.3307,2.3308
2025-02-06 19:14:19.970985,2.331,2.3311
2025-02-06 19:14:21.285413,2.3312,2.3313
2025-02-06 19:14:22.599791,2.3306,2.3307
2025-02-06 19:14:23.915178,2.3307,2.3308
2025-02-06 19:14:25.241958,2.3298,2.3299
2025-02-06 19:14:26.554085,2.3286,2.3287
2025-02-06 19:14:27.865129,2.3282,2.3283
2025-02-06 19:14:29.178146,2.3286,2.3287
2025-02-06 19:14:30.498081,2.3281,2.3282
2025-02-06 19:14:31.817565,2.3282,2.3283
2025-02-06 19:14:33.131287,2.3286,2.3287
2025-02-06 19:14:34.446670,2.3288,2.3289
2025-02-06 19:14:35.766022,2.33,2.3301
2025-02-06 19:14:37.085823,2.3296,2.3297
2025-02-06 19:14:38.398581,2.3296,2.3297
2025-02-06 19:14:39.725907,2.3298,2.3299
2025-02-06 19:14:41.037524,2.3296,2.3297
2025-02-06 19:14:42.351280,2.3307,2.3308
2025-02-06 19:14:43.663292,2.3317,2.3318
2025-02-06 19:14:44.974523,2.3317,2.3318
2025-02-06 19:14:46.285518,2.3304,2.3305
2025-02-06 19:14:47.597292,2.33,2.3301
2025-02-06 19:14:48.909134,2.3302,2.3303
2025-02-06 19:14:50.222226,2.3302,2.3303
2025-02-06 19:14:51.532537,2.3303,2.3304
2025-02-06 19:14:52.850570,2.331,2.3311
2025-02-06 19:14:54.165058,2.3311,2.3312
2025-02-06 19:14:55.487845,2.3313,2.3314
2025-02-06 19:14:56.800364,2.3318,2.3319
2025-02-06 19:14:58.113888,2.3318,2.3319
2025-02-06 19:14:59.426777,2.3332,2.3333
2025-02-06 19:15:00.740406,2.3331,2.3332
2025-02-06 19:15:02.053396,2.3318,2.3319
2025-02-06 19:15:03.369055,2.3318,2.3319
2025-02-06 19:15:04.684527,2.3329,2.333
2025-02-06 19:15:06.000400,2.3316,2.3317
2025-02-06 19:15:07.763405,2.3315,2.3316
2025-02-06 19:15:09.078910,2.3317,2.3318
2025-02-06 19:15:10.392062,2.3322,2.3323
2025-02-06 19:15:11.707822,2.3308,2.3309
2025-02-06 19:15:13.020445,2.3308,2.3309
2025-02-06 19:15:14.333830,2.3306,2.3307
2025-02-06 19:15:15.648941,2.3299,2.33
2025-02-06 19:15:16.966057,2.3284,2.3285
2025-02-06 19:15:18.293942,2.3288,2.3289
2025-02-06 19:15:19.608039,2.3296,2.3297
2025-02-06 19:15:20.922353,2.3291,2.3292
2025-02-06 19:15:22.243908,2.3291,2.3292
2025-02-06 19:15:23.560373,2.3292,2.3293
2025-02-06 19:15:24.873283,2.3285,2.3286
2025-02-06 19:15:26.191103,2.3269,2.327
2025-02-06 19:15:27.505141,2.3271,2.3272
2025-02-06 19:15:28.819662,2.3268,2.3269
2025-02-06 19:15:30.135142,2.326,2.3261
2025-02-06 19:15:31.453477,2.3254,2.3255
2025-02-06 19:15:32.768125,2.3254,2.3255
2025-02-06 19:15:34.081959,2.3259,2.326
2025-02-06 19:15:35.395790,2.3261,2.3262
2025-02-06 19:15:36.710738,2.3255,2.3256
2025-02-06 19:15:38.024399,2.3253,2.3254
2025-02-06 19:15:39.335566,2.3245,2.3246
2025-02-06 19:15:40.650509,2.3241,2.3242
2025-02-06 19:15:41.963634,2.323,2.3231
2025-02-06 19:15:43.280687,2.3227,2.3228
2025-02-06 19:15:44.593051,2.3221,2.3223
2025-02-06 19:15:45.907817,2.3219,2.322
2025-02-06 19:15:47.220319,2.3228,2.3229
2025-02-06 19:15:48.533720,2.3222,2.3223
2025-02-06 19:15:49.851857,2.3219,2.322
2025-02-06 19:15:51.163266,2.3213,2.3214
2025-02-06 19:15:52.474418,2.3215,2.3216
2025-02-06 19:15:54.240529,2.3221,2.3222
2025-02-06 19:15:55.555600,2.324,2.3241
2025-02-06 19:15:56.867293,2.3236,2.3237
2025-02-06 19:15:58.181794,2.323,2.3231
2025-02-06 19:15:59.494599,2.3231,2.3232
2025-02-06 19:16:00.807946,2.3239,2.324
2025-02-06 19:16:02.120837,2.3234,2.3235
2025-02-06 19:16:03.434695,2.3243,2.3244
2025-02-06 19:16:04.746261,2.324,2.3241
2025-02-06 19:16:06.056386,2.3228,2.3229
2025-02-06 19:16:07.373737,2.322,2.3221
2025-02-06 19:16:08.685597,2.3212,2.3213
2025-02-06 19:16:10.000214,2.3201,2.3202
2025-02-06 19:16:11.321864,2.3188,2.3189
2025-02-06 19:16:12.639093,2.3186,2.3187
2025-02-06 19:16:13.949683,2.3197,2.3198
2025-02-06 19:16:15.264694,2.3181,2.3182
2025-02-06 19:16:16.579780,2.3173,2.3174
2025-02-06 19:16:17.893938,2.3171,2.3172
2025-02-06 19:16:19.207816,2.3171,2.3172
2025-02-06 19:16:20.519975,2.3175,2.3176
2025-02-06 19:16:21.832226,2.3174,2.3175
2025-02-06 19:16:23.144335,2.3156,2.3157
2025-02-06 19:16:24.455070,2.3161,2.3162
2025-02-06 19:16:25.767495,2.3169,2.317
2025-02-06 19:16:27.086105,2.3177,2.3178
2025-02-06 19:16:28.403598,2.3196,2.3197
2025-02-06 19:16:29.716438,2.3194,2.3195
2025-02-06 19:16:31.029716,2.3189,2.319
2025-02-06 19:16:32.340778,2.3201,2.3202
2025-02-06 19:16:33.656053,2.3197,2.3198
2025-02-06 19:16:34.968518,2.3206,2.3207
2025-02-06 19:16:36.280601,2.3213,2.3214
2025-02-06 19:16:37.597475,2.3225,2.3226
2025-02-06 19:16:38.911365,2.3237,2.3238
2025-02-06 19:16:40.223909,2.3253,2.3254
2025-02-06 19:16:41.538922,2.3247,2.3248
2025-02-06 19:16:42.849992,2.3235,2.3236
2025-02-06 19:16:44.164139,2.323,2.3231
2025-02-06 19:16:45.477028,2.3229,2.323
